household_id,age,dependents,net_worth,net_worth_after_redistribution,transfer,L,phi,L_phi,annual_consumption,target_lifetime_consumption,marginal_utility
1,18,0,5000,971495.2496954933,966495.2496954933,82,1.0,82.0,11847.503045066991,971495.2496954933,8.440597113130732e-05
2,19,0,8000,959647.7466504263,951647.7466504263,81,1.0,81.0,11847.503045066991,959647.7466504263,8.440597113130732e-05
3,20,0,12000,947800.2436053592,935800.2436053592,80,1.0,80.0,11847.503045066991,947800.2436053592,8.440597113130732e-05
4,21,0,15000,935952.7405602923,920952.7405602923,79,1.0,79.0,11847.503045066991,935952.7405602923,8.440597113130732e-05
5,22,0,18000,924105.2375152253,906105.2375152253,78,1.0,78.0,11847.503045066991,924105.2375152253,8.440597113130732e-05
6,23,0,22000,912257.7344701583,890257.7344701583,77,1.0,77.0,11847.503045066991,912257.7344701583,8.440597113130732e-05
7,24,0,28000,900410.2314250913,872410.2314250913,76,1.0,76.0,11847.503045066991,900410.2314250913,8.440597113130732e-05
8,25,0,35000,888562.7283800243,853562.7283800243,75,1.0,75.0,11847.503045066991,888562.7283800243,8.440597113130732e-05
9,26,0,38000,876715.2253349574,838715.2253349574,74,1.0,74.0,11847.503045066991,876715.2253349574,8.440597113130732e-05
10,27,0,42000,864867.7222898904,822867.7222898904,73,1.0,73.0,11847.503045066991,864867.7222898904,8.440597113130732e-05
11,28,1,48000,1108926.2850182704,1060926.2850182704,72,1.3,93.60000000000001,15401.753958587089,1108926.2850182704,8.440597113130732e-05
12,29,1,55000,1093524.5310596833,1038524.5310596833,71,1.3,92.3,15401.753958587089,1093524.5310596833,8.440597113130732e-05
13,30,1,62000,1078122.7771010962,1016122.7771010962,70,1.3,91.0,15401.753958587089,1078122.7771010962,8.440597113130732e-05
14,31,1,68000,1062721.0231425092,994721.0231425092,69,1.3,89.7,15401.753958587089,1062721.0231425092,8.440597113130732e-05
15,32,1,75000,1047319.2691839221,972319.2691839221,68,1.3,88.4,15401.753958587089,1047319.2691839221,8.440597113130732e-05
16,33,1,85000,1031917.515225335,946917.515225335,67,1.3,87.10000000000001,15401.753958587089,1031917.515225335,8.440597113130732e-05
17,34,1,92000,1016515.7612667478,924515.7612667478,66,1.3,85.8,15401.753958587089,1016515.7612667478,8.440597113130732e-05
18,35,1,105000,1001114.0073081608,896114.0073081608,65,1.3,84.5,15401.753958587089,1001114.0073081608,8.440597113130732e-05
19,36,2,118000,1213184.31181486,1095184.31181486,64,1.6,102.4,18956.004872107187,1213184.31181486,8.440597113130732e-05
20,37,2,130000,1194228.3069427528,1064228.3069427528,63,1.6,100.80000000000001,18956.004872107187,1194228.3069427528,8.440597113130732e-05
21,38,2,145000,1175272.3020706456,1030272.3020706456,62,1.6,99.2,18956.004872107187,1175272.3020706456,8.440597113130732e-05
22,39,2,160000,1156316.2971985384,996316.2971985384,61,1.6,97.60000000000001,18956.004872107187,1156316.2971985384,8.440597113130732e-05
23,40,2,178000,1137360.2923264313,959360.2923264313,60,1.6,96.0,18956.004872107187,1137360.2923264313,8.440597113130732e-05
24,41,2,195000,1118404.287454324,923404.2874543241,59,1.6,94.4,18956.004872107187,1118404.287454324,8.440597113130732e-05
25,42,2,215000,1099448.282582217,884448.2825822169,58,1.6,92.80000000000001,18956.004872107187,1099448.282582217,8.440597113130732e-05
26,43,2,235000,1080492.2777101097,845492.2777101097,57,1.6,91.2,18956.004872107187,1080492.2777101097,8.440597113130732e-05
27,44,2,258000,1061536.2728380025,803536.2728380025,56,1.6,89.60000000000001,18956.004872107187,1061536.2728380025,8.440597113130732e-05
28,45,2,280000,1042580.2679658952,762580.2679658952,55,1.6,88.0,18956.004872107187,1042580.2679658952,8.440597113130732e-05
29,46,2,305000,1023624.2630937881,718624.2630937881,54,1.6,86.4,18956.004872107187,1023624.2630937881,8.440597113130732e-05
30,47,2,330000,1004668.258221681,674668.258221681,53,1.6,84.80000000000001,18956.004872107187,1004668.258221681,8.440597113130732e-05
31,48,1,358000,800891.2058465286,442891.20584652864,52,1.3,67.60000000000001,15401.753958587089,800891.2058465286,8.440597113130732e-05
